"CAS","odor_goodscents"
"6638-05-7","phenolic smoke medicinal woody spice eugenol root caramel, phenolic, smokey, medicinal, woody, spicy, eugenol-like and rooty with a caramellic nuance"
"5616-51-3","sulfurous alliaceous smoky savory vegetable"
"40348-72-9","sweet fruity musty"
"2177-77-7","fruity berry apple tropical, fruity, sweet, berry, pineapple, apple, banana, green melon and tropical"
"151409-53-9","fruity berry apple tropical, fruity, sweet, berry, pineapple, apple, banana, green melon and tropical"
"51534-66-8","sulfurous musty onion fruity tropical green"
"13481-87-3","fruity green watermelon rind pear skin honeydew juicy fatty dry"
"49576-57-0","fruity green"
"689-89-4","pungent fruity licorice, sweet, fruity, brown, with a spicy green anise nuance"
"34545-88-5","toasted coconut tonka"
"693-95-8","nutty green vegetable tomato, alliaceous, ripe, nutty, vegetable, tomato with a green tropical nuance"
"1374790-21-2","green weedy broccoli green bean, vegetative sauerkraut, kimchi, cabbage, soy beans, green onion nuances"
"65887-08-3","green weedy broccoli green bean, vegetative sauerkraut, kimchi, cabbage, soy beans, green onion nuances"
"41453-56-9","slightly waxy melon sweet, green, fatty, cucumber-like with melon and tallow undernotes"
"5577-44-6","fatty reminiscent of pear vegetable green, green, fatty, oily, citrus and melon-like"
"600-18-0","sweet brown caramel creamy lactonic, sweet, brown, caramellic, creamy with lactonic nuances"
"2345-28-0","fresh jasmin celery"
"63759-55-7","musty mushroom"
"150-30-1","odorless"
"65504-93-0","roasted cooked"
"6635-22-9","sweet spicy"
"6766-82-1","phenolic"
"3615-41-6","odorless"
"71298-42-5","animalic cumin sweaty"
"53850-34-3","odorless"
"617-01-6","herbal eucalyptus"
"60-18-4","odorless"
"498-00-0","sweet creamy vanilla caramellic coconut graham cracker tonka milky powdery, sweet, creamy, phenolic with a vanilla and coconut nuance"
"1901-38-8","sweet berry camphor"
"72881-27-7","waxy buttery oily creamy dairy green lactonic plum skin"
"67845-46-9","powerful hay melon ozone floral"
"495-60-3","spice fresh sharp"
"58334-55-7","ginger metal"
"6754-68-3","of ginger root oil"
"54814-64-1","sweet creamy coconut peach herbal"
"25524-95-2","creamy waxy jasmin peach coconut, creamy, lactonic, fatty and dairy with a waxy, tropical and fruity nuance"
"59259-38-0","mild cooling, little or no apparent odor"
"41547-22-2","fruity"
"61788-85-0","bland"
"100743-68-8","odorless"
"36438-54-7","phenolic berry medical"
"80417-97-6","tonka hay coumarin coconut"
"4748-78-1","bitter almond sweet anise"
"74367-97-8","floral green fruity sweet berry cherry powdery, floral, green, fruity, sweet, berry- and cherry-like with powdery nuances"
"81925-81-7","raw nut skin myrcene ketonic sweet hazelnut filbert, nutty, pungent, roasted, ketonic and coffee-like"
"13341-72-5","sweet creamy coumarin coconut powdery tobacco spearmint, sweet, creamy, coumarinic and coconut with a powdery tobacco nuance"
"1079-01-2","herbal fresh sweet fruity citrus, woody, cedar-like with floral, green and cooling nuances"
"17587-33-6","fresh citrus green cucumber melon, fresh green cucumber, melon and vegetative with fatty nuances"
"91052-70-9","mild fatty"
"128331-45-3","mild fatty"
"91052-69-6","mild fatty"
"91052-71-0","mild fatty"
"91052-72-1","mild fatty"
"128331-48-6","mild fatty"
"91052-68-5","mild fatty"
"128331-49-7","odorless"
"91052-73-2","odorless"
"150436-68-3","bland"
"19872-52-7","sulfurous meaty catty black currant"
"20489-53-6","citrus fruit grapefruit"
"22094-00-4","fruity green grassy"
"7783-06-4","rotten egg"
"18679-18-0","sweet fatty waxy dairy creamy fruity, sweet, fatty, waxy, dairy and creamy with a lactonic, fruity nuance"
"101517-87-7","roasted cocoa peanut"
"101517-86-6","roasted cocoa peanut"
"104691-41-0","peanut meaty cocoa"
"87061-04-9","very mild minty phenolic fruity jammy dried fruit berry"
"94087-83-9","sulfurous catty black currant minty tropical, sweet, sulfurous, skunk-like and catty, with a minty tropical thiomenthone like mango, peach, black currant and grapefruit nuances"
"57124-87-5","roasted beef chicken meat sulfurous, roasted, crusted beef and chicken, meaty, pot roast, sulfurous and mildly alliaceous"
"51755-85-2","sulfury green spicy vegetable tropical, sulfureous, green, spicy, pungent and vegetative with a tropical nuance"
"2084-19-7","sulfury gassy"
"564-20-5","dry paper woody ambergris labdanum, intense, aromatic, woody and moss like with a cedar and tobacco nuance"
"82654-98-6","vanilla fruity"
"871-22-7","floral rose green chloroform"
"29926-41-8","corn chip taco potato chip toasted bread nutty, corn chips, green onion, crispy chicken skin, toasted grain with a nutty background, roasted nutty dry out, herbal and grassy"
"88-15-3","sulfurous nutty hazelnut walnut"
"338-69-2","odorless"
"117933-89-8","dry dusty woody mahogany amber resinous earthy floral"
"109-49-9","ethereal floral"
"107-18-6","pungent mustard"
"68901-15-5","green herbal galbanum fruity pineapple leafy spicy woody"
"57856-81-2","fatty sweet fruity pineapple"
"1838-59-1","ethereal fruity"
"68132-80-9","fruity rose sweet musk"
"1070-35-5","banana peel fruity green"
"10152-76-8","alliaceous garlic onion"
"14289-65-7","green fruity mushroom honey"
"27817-67-0","alliaceous green onion garlic"
"33922-73-5","sulfurous alliaceous garlic onion"
"5933-87-9","fruity cognac winey"
"5350-03-8","mild fatty oily waxy"
"68039-26-9","apple fruity tropical"
"624-54-4","sweet fruity apricot pineapple tropical banana"
"107697-91-6","mushroom"
"591-31-1","anisic"
"2409-55-4","cresol medicinal leather"
"17114-82-8","cooked brown roasted"
"41199-19-3","amber musk animal old wood earthy"
"70-47-3","odorless"
"107-31-3","fruity plum estery"
"82185-41-9","floral grapefruit lily"
"6938-45-0","green apricot fruity gardenia jasmin"
"10276-85-4","herbal fatty fruity peach pineapple"
"65416-24-2","warm herbal spicy"
"57371-42-3","warm spicy hay balsamic floral"
"2051-96-9","floral fatty butter fruity"
"6939-75-9","fruity"
"97384-48-0","aldehydic spicy herbal green peppery sweet"
"84697-09-6","floral heliotrope tropical mimosa berry green"
"10361-39-4","fruity floral apple skin"
"93904-56-4","fatty green metallic aldehyic"
"507-70-0","pine woody camphor balsamic"
"5208-59-3","herbal woody floral balsamic"
"1191-08-8","sulfurous meaty"
"3724-65-0","roasted burnt"
"105-46-4","solvent fruity banana"
"7785-64-0","wine fruity rose spicy"
"30673-36-0","whiskey"
"628-63-7","ethereal fruity banana pear banana apple"
"123-77-3","odorless"
"139-85-5","dry medicinal bitter almond"
"2078-54-8","mild phenolic"
"625-86-5","chemical ethereal meaty gravy roast beef bacon"
"105-67-9","weak smoky roasted dark"
"541-58-2","coffee tea beefy roasted barley"
"124439-28-7","fruity green"
"52089-55-1","fruity green"
"623-21-2","grape fruity green"
"39481-28-2","green"
"39252-02-3","green fatty musty waxy"
"88-14-2","odorless"
"17102-64-6","fresh green herbal"
"928-97-2","green cortex privet leafy floral petal oily earthy"
"123-08-0","sweet nutty almond balsam woody, slightly nutty almond, balsamic vanilla like with slight brown honey nuance. with a faint metallic character"
"99-96-7","phenolic nutty"
"67-47-0","fatty buttery musty waxy caramellic"
"61692-84-0","herbal pungent"
"51411-24-6","floral green muguet lily magnolia linden flower grape fruity"
"1708-81-2","dry earthy green grass oily fatty waxy herbal cortex"
"115-18-4","herbal earthy oily"
"110-42-9","oily wine fruity floral"
"38768-63-7","wild fruity fatty"
"6622-76-0","ethereal rum"
"77-74-7","powerful fruity green leafy"
"15986-80-8","nutty"
"112-61-8","oily waxy"
"5986-55-0","patchouli earthy camphor powdery"
"118-55-8","mild sweet fruity balsam"
"150-86-7","delicate floral balsam powdery waxy"
"108-32-7","minty spicy medical"
"61692-83-9","green seedy apple fruity"
"290-37-9","pungent sweet corn like roasted hazelnut barly"
"110-15-6","odorless"
"91-16-7","sweet creamy vanilla phenolic musty"
"1196-01-6","spicy mint camphor"
"24237-00-1","floral green earthy spicy geranium vegetable"
"50888-63-6","sweet earthy"
"4466-24-4","mild fruity wine sweet spicy"
"34322-09-3","green grassy herbal spicy"
"1634-04-4","minty"
"110-36-1","mild oily fatty"
"32741-11-0","minty green bell pepper nutty roasted"
"2432-91-9","spicy galbanum green herbal"
"1455-20-5","fruity floral milky fried chicken"
"23911-56-0","floral orangeflower"
"106-31-0","butter"
"59672-05-8","pine"
"4407-36-7","sweet balsam hyacinth spicy green powdery cinnamyl"
"5420-98-4","sweet spice candy cinnamon red hots warm"
"6994-20-3","fruity green spicy"
"141-27-5","citrus lemon"
"20770-40-5","very mild red rose geranium"
"30925-07-6","odorless"
"14617-92-6","animal narcissus"
"7495-84-3","animal"
"31416-78-1","fruity, sweet, floral, green, woody, and weak"
"66848-40-6","tonka tobacco"
"1113-21-9","mild floral rose balsam"
"7585-39-9","odorless"
"1569-69-3","sulfurous"
"1670-47-9","fruity liquor rum tobacco woody"
"930-68-7","roasted savory green"
"13215-88-8","sweet acorn nut skin tobacco spicy"
"1193-81-3","clean, fresh aroma"
"2109-22-0","natural fresh green pollen"
"1551-43-5","fruity herbal"
"84012-64-6","sweet musk animal"
"616-31-9","sulfurous gassy durian fruity roasted savory"
"1975-78-6","fresh musty fatty waxy oily cognac"
"39770-05-3","aldehydic dewy rose waxy floral"
"334-49-6","sweet fresh fruity oily waxy"
"20483-36-7","floral"
"54306-00-2","green fruity green apple"
"3842-03-3","fruity fatty"
"110-81-6","gassy ripe onion greasy garlic"
"96-22-0","ethereal acetone"
"22567-17-5","musty"
"352-93-2","ethereal sulfurous"
"15729-76-7","meaty musty nutty"
"3600-24-6","sulfurous garlic onion"
"625-80-9","sulfury vegetable garlic"
"1131-62-0","sweet woody floral"
"21112-37-8","rich woody vetiver forest"
"950-33-4","woody cedar patchouli ambergris"
"67674-46-8","fresh citrus grapefruit peel soapy woody green violet"
"71077-31-1","floral aldehydic magnolia lily muguet"
"14400-67-0","fruity ester caramel"
"53498-32-1","geranium green red rose nutty vegetable nut skin earthy beany"
"72402-00-7","camphor citrus spicy"
"94346-09-5","warm herbal clary woody"
"515-69-5","mild floral peppery balsamic clean"
"61792-11-8","lemon cologne metallic"
"22882-89-9","clean rose cologne"
"30310-41-9","geranium floral green leafy herbal"
"1009-62-7","fresh marine"
"82461-14-1","green rhubarb grapefruit citrus herbal eucalyptus woody"
"2379-55-7","fatty earthy"
"5756-24-1","garlic meaty"
"638-02-8","nutty sulfury"
"85136-10-3","herbal lavender"
"68439-49-6","mild waxy"
"111-47-7","garlic onion"
"2219-82-1","cresol phenolic leather medicinal"
"68845-36-3","dry woody chrysanthemum phenolic powdery orris"
"3724-61-6","fatty fruity rancid"
"51652-47-2","waxy fatty rose"
"78-96-6","fishy"
"120-25-2","sweet floral vanilla powdery"
"937-30-4","floral hawthorn"
"7335-26-4","floral ylang tuberose fruity raspberry"
"97-95-0","sweet musty alcoholic"
"15111-56-5","very intense sweet fruity floral ylang"
"84681-92-5","powderful humid wet earthy dirt rooty"
"2511-00-4","fruity green pear"
"607-97-6","fruity winey green herbal earthy rootbeer ethereal"
"544-35-4","mild fatty fruity oily"
"23747-43-5","sulfury fruity"
"49773-24-2","green minty sulfurous fruity ethereal"
"624-89-5","sulfury garlic tomato coffee pyridene cabbage vegetable meaty, sulfurous, tomato and cabbage vegetative with dimethyl sulfide, meaty and metallic nuances"
"92046-48-5","magnolia muguet floral lily"
"26553-47-9","fruity fatty winey"
"302-72-7","odorless"
"620-17-7","musty"
"3938-95-2","fruity"
"15679-09-1","green nutty"
"36880-33-8","like benzaldehyde"
"7244-82-8","savory dairy"
"18721-61-4","sulfurous vegetable potato"
"617-05-0","phenolic burnt guaiacol smoky powdery metallic"
"72207-94-4","vanilla milky"
"68527-76-4","sweet vanilla creamy spicy, sweet sharp vanillin, creamy with spicy clove-like nuances"
"19317-11-4","floral minty"
"502-61-4","citrus herbal lavender bergamot myrrh neroli green, woody, green vegetative with a hint of a floral nuance. it has a slight gin herbal and citrus dry out"
"7787-20-4","camphor herbal earthy woody"
"110-00-9","ethereal"
"6270-55-9","fruity coffee"
"18999-28-5","green grassy fruity ethereal"
"4938-52-7","oily green metallic acrylate tomato spicy, earthy green fruity mushroom"
"67879-60-1","winey"
"60160-17-0","winey brandy cognac"
"2435-16-7","natural green pea waxy rose floral"
"7370-44-7","mild fatty waxy dairy buttery"
"111-28-4","musty green sweet herbal almond nutty, slight musty and green with a sweet marzipan, raw almond nutty note with a vegetative and a slight whiskey nuance"
"64001-15-6","herbal green fruity basil"
"53018-24-9","fruity sweet green herbal melon"
"68039-44-1","fruity peach sweet powdery green floral"
"505-57-7","sweet almond fruity green leafy apple plum vegetable"
"65405-80-3","green vegetable"
"821-41-0","green"
"1629-60-3","cooked vegetable metallic"
"149982-46-7","fruity jasmin pear lactone"
"94071-12-2","green"
"68480-29-5","green"
"20279-51-0","sweet floral green fruity"
"1129-69-7","green fatty mutton"
"18794-77-9","floral fruity gassy green meaty"
"1117-59-5","oily fruity green brandy"
"21964-44-3","intensely oily creamy green earthy mushroom"
"499-44-5","phenolic woody mossy"
"91482-37-0","green citrus iodine tangerine seaweed waxy fresh bitter"
"10482-55-0","floral fruity chamomile"
"19329-89-6","fruity creamy nutty"
"93762-35-7","pineapple tropical fruit sulfurous"
"2050-09-1","fruity ripe apple green"
"78-81-9","fishy cheesy"
"5461-06-3","fruity green oily floral"
"30673-38-2","oily sweet brandy apricot fermented cognac"
"63500-71-0","fresh clean soft natural floral muguet linalool"
"585-24-0","faint buttery fruity caramellic"
"65505-24-0","fruity grapefruit grape"
"2445-67-2","sweet fruity"
"29460-92-2","green vegetable fruity"
"91672-23-0","floral geranium palmarosa rose green"
"79-89-0","woody ambergris waxy orris floral"
"65155-45-5","floral lavender herbal woody"
"505-32-8","mild floral herbal green"
"71648-34-5","fir tree balsamic ylang niobe cypress woody floral"
"59230-57-8","fresh fruity sweet herbal bergamot"
"63767-86-2","floral muguet waxy lily of the valley rose"
"477-43-0","nutty"
"34291-99-1","green leaf aldehydic fresh"
"5355-63-5","creamy sweet fruity"
"14374-92-6","green sweet carrot dry earthy"
"67952-59-4","powerful green vegetable roasted meat"
"5458-59-3","carao banana coconut cognac"
"99-89-8","woody warm spicy medicinal"
"29460-90-0","minty green nutty honey"
"18362-97-5","fruity pineapple"
"120-58-1","sweet sassafrass spicy"
"38223-29-9","musk"
"67689-50-3","warm fruity woody"
"60-33-3","faint fatty"
"463-40-1","faint fatty"
"14486-03-4","savory meaty cheesy"
"28787-36-2","fruity jammy berry tropical"
"67860-01-9","sweet fruity berry strawberry"
"58985-02-7","pine lime citrus floral terpenic"
"15111-97-4","sweet mild fruity minty"
"68683-20-5","sweet floral fruity herbal minty"
"484-12-8","dry musty herbal"
"89-48-5","tea minty fruity, tea-like, slightly cooling, minty and fruity"
"4951-48-8","sweet herbal floral rose peony"
"1534-08-3","sulfurous eggy cheese dairy vegetable cabbage"
"13794-73-5","woody cedar"
"86-26-0","rose fruity"
"62439-41-2","floral fruity watery citrus melon green"
"25680-57-3","earthy bell pepper raw potato galbanum"
"7217-59-6","meaty smoked sausage powdery sweet spicy phenolic sulfurous"
